Player,Team,Att,Yds,Y/A,TD,1stD,Long,Fumb,FumL,Date
De'Von Achane,MIA,14,67,4.8,0,4,22,0,0,11/2
Chris Rodriguez Jr.,WAS,12,65,5.4,1,7,12,0,0,11/2
J.K. Dobbins,DEN,15,61,4.1,0,3,12,0,0,11/2
Blake Corum,LAR,13,58,4.5,0,3,21,0,0,11/2
Justin Herbert,LAC,9,57,6.3,1,6,29,0,0,11/2
Tony Pollard,TEN,10,56,5.6,0,3,16,0,0,11/2
Jaxson Dart,NYG,8,56,7,1,5,18,0,0,11/2
TreVeyon Henderson,NE,14,55,3.9,0,2,8,0,0,11/2
Caleb Williams,CHI,5,53,10.6,0,2,14,0,0,11/2
Brian Robinson Jr.,SF,5,53,10.6,1,4,18,0,0,11/2
Jayden Daniels,WAS,10,51,5.1,1,2,12,0,0,11/2
Kareem Hunt,KC,11,49,4.5,1,3,13,0,0,11/2
Bijan Robinson,ATL,12,46,3.8,0,2,15,0,0,11/2
Jonathan Taylor,IND,14,45,3.2,0,3,9,0,0,11/2
Jaret Patterson,LAC,9,44,4.9,0,1,9,0,0,11/2
Devin Singletary,NYG,8,43,5.4,0,4,14,0,0,11/2
Ashton Jeanty,LV,13,42,3.2,0,3,13,0,0,11/2
Kenneth Walker III,SEA,11,42,3.8,0,2,12,0,0,11/2
David Montgomery,DET,11,40,3.6,1,3,11,1,1,11/2
Jacory Croskey-Merritt,WAS,12,38,3.2,0,0,6,0,0,11/2
Chase Brown,CIN,11,37,3.4,0,3,12,0,0,11/2
Brittain Brown,CHI,5,37,7.4,1,2,22,0,0,11/2
Jordan Mason,MIN,10,36,3.6,0,1,13,0,0,11/2
Bo Nix,DEN,3,36,12,0,1,25,0,0,11/2
Terrell Jennings,NE,11,35,3.2,1,5,11,0,0,11/2
Nick Chubb,HOU,11,34,3.1,0,1,8,0,0,11/2
Dak Prescott,DAL,4,34,8.5,0,1,14,0,0,11/2
Jaylen Warren,PIT,16,31,1.9,2,3,8,0,0,11/2
Kimani Vidal,LAC,12,30,2.5,0,1,7,1,0,11/2
Taysom Hill,NO,4,30,7.5,0,1,29,0,0,11/2
Bhayshul Tuten,JAX,9,29,3.2,1,4,11,0,0,11/2
Woody Marks,HOU,10,27,2.7,0,0,7,0,0,11/2
Bam Knight,ARI,9,27,3,0,3,17,0,0,11/2
Tyjae Spears,TEN,7,26,3.7,0,0,10,0,0,11/2
Jahmyr Gibbs,DET,9,25,2.8,0,0,7,0,0,11/2
Zach Charbonnet,SEA,8,25,3.1,0,1,9,0,0,11/2
Trevor Lawrence,JAX,9,24,2.7,2,4,7,0,0,11/2
Drake Maye,NE,8,20,2.5,0,2,12,2,1,11/2
Michael Penix Jr.,ATL,2,19,9.5,0,1,15,1,0,11/2
Josh Allen,BUF,6,19,3.2,2,4,11,0,0,11/2
Tyrone Tracy Jr.,NYG,5,18,3.6,0,1,11,0,0,11/2
Chuba Hubbard,CAR,5,17,3.4,0,1,8,0,0,11/2
DJ Moore,CHI,1,17,17,1,1,17,0,0,11/2
Emanuel Wilson,GB,6,16,2.7,0,1,7,0,0,11/2
Jordan Addison,MIN,1,16,16,0,1,16,0,0,11/2
Alvin Kamara,NO,6,14,2.3,0,0,3,1,1,11/2
Lamar Jackson,BAL,5,14,2.8,0,1,13,0,0,11/2
Malik Washington,MIA,3,13,4.3,0,0,7,1,1,11/2
J.J. McCarthy,MIN,9,12,1.3,1,1,9,1,0,11/2
C.J. Stroud,HOU,2,12,6,0,1,6,0,0,11/2
Keaton Mitchell,BAL,4,11,2.8,0,1,4,0,0,11/2
Devin Neal,NO,3,11,3.7,0,0,4,0,0,11/2
Jaxon Smith-Njigba,SEA,1,11,11,0,1,11,0,0,11/2
LeQuint Allen Jr.,JAX,1,10,10,0,1,10,0,0,11/2
Bryce Young,CAR,2,9,4.5,0,2,5,1,0,11/2
George Holani,SEA,3,9,3,0,0,7,0,0,11/2
Geno Smith,LV,5,9,1.8,0,2,4,0,0,11/2
Greg Dortch,ARI,1,9,9,0,0,9,0,0,11/2
Ty Johnson,BUF,2,8,4,1,1,5,0,0,11/2
Xavier Worthy,KC,1,7,7,0,0,7,0,0,11/2
Brashard Smith,KC,3,7,2.3,0,0,4,0,0,11/2
Jimmy Horn Jr.,CAR,1,7,7,0,1,7,0,0,11/2
Davis Mills,HOU,2,7,3.5,0,0,7,0,0,11/2
Cam Ward,TEN,2,6,3,0,0,6,2,0,11/2
Ollie Gordon II,MIA,2,6,3,0,0,3,0,0,11/2
Rashee Rice,KC,2,6,3,1,2,3,0,0,11/2
Brock Bowers,LV,1,6,6,0,0,6,0,0,11/2
Tyler Allgeier,ATL,2,6,3,0,0,4,0,0,11/2
Patrick Mahomes,KC,1,5,5,0,0,5,0,0,11/2
Clyde Edwards-Helaire,KC,2,5,2.5,0,0,7,0,0,11/2
Samaje Perine,CIN,1,5,5,0,0,5,0,0,11/2
RJ Harvey,DEN,2,5,2.5,0,0,3,0,0,11/2
Dyami Brown,JAX,1,4,4,0,0,4,0,0,11/2
Mac Jones,SF,4,4,1,0,1,2,1,1,11/2
Daniel Jones,IND,3,4,1.3,1,2,2,3,2,11/2
Connor Heyward,PIT,1,4,4,0,1,4,0,0,11/2
Jacoby Brissett,ARI,5,4,0.8,1,1,4,1,0,11/2
Mark Andrews,BAL,2,4,2,0,2,2,0,0,11/2
Andrei Iosivas,CIN,1,4,4,0,0,4,0,0,11/2
Kaleb Johnson,PIT,1,4,4,0,0,4,0,0,11/2
Malik Davis,DAL,1,3,3,0,1,3,0,0,11/2
KaVontae Turpin,DAL,1,3,3,0,0,3,0,0,11/2
Puka Nacua,LAR,1,3,3,0,1,3,0,0,11/2
Ameer Abdullah,IND,1,3,3,0,0,3,0,0,11/2
Rodney Thomas II,IND,1,3,3,0,1,3,0,0,11/2
Deebo Samuel,WAS,1,3,3,0,0,3,0,0,11/2
Justice Hill,BAL,1,2,2,0,0,2,0,0,11/2
Tyler Shough,NO,1,2,2,0,0,2,0,0,11/2
Adam Prentice,DEN,1,2,2,0,1,2,0,0,11/2
AJ Barner,SEA,1,1,1,1,1,1,1,0,11/2
Tua Tagovailoa,MIA,1,1,1,0,0,1,0,0,11/2
Tahj Brooks,CIN,1,1,1,0,0,1,0,0,11/2
Jordan Love,GB,1,1,1,0,0,1,0,0,11/2
Savion Williams,GB,1,0,0,0,0,0,1,1,11/2
British Brooks,HOU,2,0,0,0,0,0,0,0,11/2
Aaron Rodgers,PIT,2,0,0,0,0,1,0,0,11/2
Jeremy McNichols,WAS,1,0,0,0,0,0,0,0,11/2
Joe Flacco,CIN,1,-1,-1,0,0,-1,1,1,11/2
Adrian Martinez,SF,1,-1,-1,0,0,-1,0,0,11/2
Kenneth Gainwell,PIT,3,-1,-0.3,0,1,5,0,0,11/2
George Kittle,SF,1,-3,-3,0,0,-3,0,0,11/2
Jaylin Noel,HOU,1,-3,-3,0,0,-3,0,0,11/2
Matthew Stafford,LAR,4,-4,-1,0,0,-1,0,0,11/2
Troy Franklin,DEN,2,-4,-2,0,1,2,0,0,11/2
James Cook III,BUF,19,216,11.4,2,10,64,0,0,10/26
Jonathan Taylor,IND,12,153,12.8,2,7,80,0,0,10/26
Saquon Barkley,PHI,14,150,10.7,1,4,65,0,0,10/26
Breece Hall,NYJ,18,133,7.4,2,6,35,0,0,10/26
Kimani Vidal,LAC,23,117,5.1,1,8,21,0,0,10/26
J.K. Dobbins,DEN,15,111,7.4,0,5,25,0,0,10/26
Tank Bigsby,PHI,9,104,11.6,0,5,29,0,0,10/26
Samaje Perine,CIN,9,94,10.4,1,5,32,0,0,10/26
TreVeyon Henderson,NE,10,75,7.5,0,6,27,1,1,10/26
Chase Brown,CIN,12,73,6.1,1,5,22,0,0,10/26
Derrick Henry,BAL,21,71,3.4,2,6,10,0,0,10/26
De'Von Achane,MIA,18,67,3.7,0,4,12,0,0,10/26
Isaiah Davis,NYJ,7,65,9.3,0,1,50,0,0,10/26
Justin Herbert,LAC,7,62,8.9,0,4,18,0,0,10/26
Jaylen Warren,PIT,13,62,4.8,0,2,17,0,0,10/26
Woody Marks,HOU,11,62,5.6,0,2,23,0,0,10/26
Emanuel Wilson,GB,11,61,5.5,0,4,15,1,0,10/26
Tyjae Spears,TEN,9,59,6.6,1,2,41,0,0,10/26
Isiah Pacheco,KC,12,58,4.8,0,3,13,0,0,10/26
Nick Chubb,HOU,17,56,3.3,0,0,9,0,0,10/26
Rico Dowdle,CAR,8,54,6.8,0,2,24,0,0,10/26
Tyler Huntley,BAL,8,53,6.6,0,4,29,0,0,10/26
Drake Maye,NE,7,50,7.1,0,2,28,1,0,10/26
Ollie Gordon II,MIA,10,46,4.6,0,6,13,0,0,10/26
RJ Harvey,DEN,7,46,6.6,2,2,40,0,0,10/26
D'Andre Swift,CHI,11,45,4.1,1,3,13,0,0,10/26
Tony Pollard,TEN,11,44,4,0,3,11,0,0,10/26
Keaton Mitchell,BAL,4,43,10.8,0,2,25,0,0,10/26
Sean Tucker,TB,12,42,3.5,1,3,15,1,0,10/26
Javonte Williams,DAL,13,41,3.2,2,4,9,0,0,10/26
Kareem Hunt,KC,9,40,4.4,1,4,11,0,0,10/26
Tyrone Tracy Jr.,NYG,10,39,3.9,0,2,6,0,0,10/26
Rachaad White,TB,13,35,2.7,0,2,9,0,0,10/26
Chuba Hubbard,CAR,12,34,2.8,1,2,5,0,0,10/26
Rhamondre Stevenson,NE,14,34,2.4,0,0,9,0,0,10/26
Josh Jacobs,GB,13,33,2.5,1,1,6,0,0,10/26
Kenneth Gainwell,PIT,5,31,6.2,0,2,14,1,1,10/26
Justin Fields,NYJ,11,31,2.8,0,3,7,0,0,10/26
Dak Prescott,DAL,6,31,5.2,0,2,9,0,0,10/26
Malachi Corley,CLE,1,31,31,0,1,31,0,0,10/26
Jaret Patterson,LAC,11,30,2.7,0,2,7,0,0,10/26
C.J. Stroud,HOU,7,30,4.3,0,4,13,0,0,10/26
Patrick Mahomes,KC,4,30,7.5,0,1,15,0,0,10/26
Jaydon Blue,DAL,8,29,3.6,0,1,14,1,0,10/26
Marcus Mariota,WAS,8,28,3.5,0,1,8,1,0,10/26
Jaylen Wright,MIA,9,28,3.1,0,1,7,0,0,10/26
Bijan Robinson,ATL,9,25,2.8,0,1,7,1,1,10/26
Isaiah Williams,NYJ,1,25,25,0,1,25,0,0,10/26
Christian McCaffrey,SF,8,25,3.1,0,1,9,0,0,10/26
Jacory Croskey-Merritt,WAS,9,25,2.8,0,2,5,0,0,10/26
Caleb Williams,CHI,3,24,8,0,1,22,0,0,10/26
Kyle Monangai,CHI,7,24,3.4,0,1,15,0,0,10/26
Mac Jones,SF,2,23,11.5,0,1,13,0,0,10/26
Jalen Hurts,PHI,4,22,5.5,0,2,8,0,0,10/26
Alvin Kamara,NO,6,21,3.5,0,1,5,0,0,10/26
Quinshon Judkins,CLE,9,19,2.1,0,0,6,0,0,10/26
Marvin Mims Jr.,DEN,3,18,6,0,1,9,0,0,10/26
Jaxson Dart,NYG,6,17,2.8,1,2,8,0,0,10/26
Zavier Scott,MIN,2,16,8,0,1,10,0,0,10/26
Ray Davis,BUF,9,16,1.8,0,0,5,0,0,10/26
Trevor Etienne,CAR,4,16,4,0,1,8,0,0,10/26
Terrell Jennings,NE,2,15,7.5,0,1,11,0,0,10/26
Aaron Jones Sr.,MIN,5,15,3,0,0,5,0,0,10/26
Nathan Carter,ATL,2,14,7,0,1,12,0,0,10/26
Joe Flacco,CIN,2,14,7,1,2,13,0,0,10/26
Dillon Gabriel,CLE,1,13,13,0,1,13,0,0,10/26
Spencer Rattler,NO,3,12,4,0,1,7,1,1,10/26
Rashee Rice,KC,2,12,6,0,0,7,1,0,10/26
Tyler Shough,NO,3,12,4,0,1,6,0,0,10/26
Cam Skattebo,NYG,3,12,4,0,0,5,0,0,10/26
Josh Williams,TB,4,11,2.8,0,0,4,0,0,10/26
Dare Ogunbowale,HOU,1,9,9,0,0,9,0,0,10/26
Jimmy Horn Jr.,CAR,2,9,4.5,0,0,7,0,0,10/26
Brashard Smith,KC,3,8,2.7,0,0,4,1,0,10/26
Zay Flowers,BAL,1,8,8,0,1,8,0,0,10/26
Josh Allen,BUF,3,7,2.3,2,2,5,0,0,10/26
Tyler Badie,DEN,1,6,6,0,0,6,0,0,10/26
Taysom Hill,NO,2,6,3,0,1,3,0,0,10/26
Ty Johnson,BUF,4,6,1.5,0,0,4,0,0,10/26
Julius Chestnut,TEN,2,5,2.5,0,0,5,0,0,10/26
Ameer Abdullah,IND,2,5,2.5,0,0,3,0,0,10/26
Tyler Allgeier,ATL,4,4,1,1,1,6,0,0,10/26
Cam Ward,TEN,2,4,2,0,0,7,0,0,10/26
Jeremy McNichols,WAS,1,4,4,0,1,4,0,0,10/26
Jordan Mason,MIN,4,3,0.8,0,0,4,0,0,10/26
Malik Davis,DAL,2,3,1.5,0,0,2,0,0,10/26
Daniel Jones,IND,1,3,3,0,0,3,0,0,10/26
Gage Larvadain,CLE,1,3,3,0,0,3,0,0,10/26
DeMario Douglas,NE,2,3,1.5,0,1,8,0,0,10/26
DJ Moore,CHI,2,3,1.5,0,0,3,0,0,10/26
Hunter Luepke,DAL,1,2,2,0,1,2,0,0,10/26
Will Shipley,PHI,3,2,0.7,0,1,3,0,0,10/26
Chris Rodriguez Jr.,WAS,1,2,2,0,0,2,0,0,10/26
Kirk Cousins,ATL,2,2,1,0,0,3,0,0,10/26
CeeDee Lamb,DAL,1,2,2,0,0,2,0,0,10/26
Tyler Goodson,IND,2,2,1,0,0,2,0,0,10/26
Harold Fannin Jr.,CLE,1,2,2,0,1,2,0,0,10/26
Justice Hill,BAL,1,2,2,0,0,2,0,0,10/26
Andy Dalton,CAR,2,1,0.5,0,0,1,2,2,10/26
Deebo Samuel,WAS,1,1,1,0,0,1,0,0,10/26
Chimere Dike,TEN,1,1,1,0,0,1,0,0,10/26
Riley Leonard,IND,1,1,1,0,0,1,0,0,10/26
Savion Williams,GB,1,1,1,0,0,1,0,0,10/26
Dylan Sampson,CLE,3,0,0,0,1,1,0,0,10/26
Devin Singletary,NYG,2,0,0,0,0,3,0,0,10/26
Jarrett Stidham,DEN,1,-1,-1,0,0,-1,0,0,10/26
Bo Nix,DEN,1,-1,-1,0,0,-1,0,0,10/26
Jordan Love,GB,1,-1,-1,0,0,-1,0,0,10/26
Nyheim Hines,LAC,2,-2,-1,0,0,1,0,0,10/26
Tanner McKee,PHI,3,-2,-0.7,0,0,0,0,0,10/26
Chris Olave,NO,1,-3,-3,0,0,-3,0,0,10/26
Jahmyr Gibbs,DET,17,136,8,2,5,78,0,0,10/19
Christian McCaffrey,SF,24,129,5.4,2,9,15,0,0,10/19
Jaylen Warren,PIT,16,127,7.9,0,6,37,0,0,10/19
D'Andre Swift,CHI,19,124,6.5,1,6,23,0,0,10/19
Javonte Williams,DAL,19,116,6.1,1,4,33,0,0,10/19
Chase Brown,CIN,11,108,9.8,0,4,37,0,0,10/19
Jonathan Taylor,IND,16,94,5.9,3,8,23,0,0,10/19
Rhamondre Stevenson,NE,18,88,4.9,1,5,16,0,0,10/19
Quinshon Judkins,CLE,25,84,3.4,3,5,46,0,0,10/19
De'Von Achane,MIA,13,82,6.3,0,2,46,0,0,10/19
Kyle Monangai,CHI,13,81,6.2,1,6,24,0,0,10/19
J.K. Dobbins,DEN,14,81,5.8,0,3,32,0,0,10/19
Rico Dowdle,CAR,17,79,4.6,0,4,13,0,0,10/19
Kenneth Walker III,SEA,17,66,3.9,0,1,16,0,0,10/19
Drake Maye,NE,8,62,7.8,0,3,19,0,0,10/19
Cam Skattebo,NYG,16,60,3.8,0,3,18,0,0,10/19
Isiah Pacheco,KC,15,57,3.8,1,5,11,0,0,10/19
Jordan Mason,MIN,15,57,3.8,1,5,12,0,0,10/19
Bam Knight,ARI,14,57,4.1,0,2,9,0,0,10/19
Josh Jacobs,GB,13,55,4.2,2,4,10,0,0,10/19
Kyren Williams,LAR,12,54,4.5,0,3,10,0,0,10/19
Zach Charbonnet,SEA,12,49,4.1,2,4,15,0,0,10/19
Bo Nix,DEN,5,48,9.6,2,4,21,1,0,10/19
Tyrone Tracy Jr.,NYG,9,46,5.1,1,2,31,0,0,10/19
Saquon Barkley,PHI,18,44,2.4,0,2,9,0,0,10/19
Travis Etienne Jr.,JAX,8,44,5.5,0,3,13,0,0,10/19
Bijan Robinson,ATL,14,40,2.9,0,1,8,0,0,10/19
Brashard Smith,KC,14,39,2.8,0,1,8,0,0,10/19
Breece Hall,NYJ,11,38,3.5,0,2,8,0,0,10/19
Rachaad White,TB,10,38,3.8,0,2,7,0,0,10/19
Blake Corum,LAR,12,37,3.1,0,1,6,0,0,10/19
Brian Robinson Jr.,SF,9,36,4,0,1,10,0,0,10/19
Jayden Daniels,WAS,8,35,4.4,1,4,14,1,1,10/19
Marcus Mariota,WAS,2,34,17,0,1,25,0,0,10/19
Jacory Croskey-Merritt,WAS,13,33,2.5,0,1,9,0,0,10/19
Justin Herbert,LAC,6,31,5.2,0,4,11,0,0,10/19
Samaje Perine,CIN,7,31,4.4,0,2,9,0,0,10/19
Chuba Hubbard,CAR,14,31,2.2,0,3,11,0,0,10/19
Jaydon Blue,DAL,7,29,4.1,0,2,9,0,0,10/19
Alvin Kamara,NO,11,28,2.5,0,1,6,0,0,10/19
Carson Wentz,MIN,4,28,7,0,2,16,1,0,10/19
Patrick Mahomes,KC,4,28,7,0,2,10,0,0,10/19
Jacoby Brissett,ARI,6,26,4.3,0,2,11,1,1,10/19
C.J. Stroud,HOU,2,25,12.5,0,0,15,0,0,10/19
Jordan Love,GB,4,22,5.5,0,1,12,2,0,10/19
Jeremy McNichols,WAS,2,22,11,0,1,19,0,0,10/19
Tyjae Spears,TEN,5,22,4.4,0,1,8,0,0,10/19
Justin Fields,NYJ,4,22,5.5,0,1,7,0,0,10/19
Bhayshul Tuten,JAX,5,22,4.4,0,0,8,0,0,10/19
Ashton Jeanty,LV,6,21,3.5,0,0,8,0,0,10/19
David Montgomery,DET,13,21,1.6,0,0,6,0,0,10/19
Kimani Vidal,LAC,9,20,2.2,0,0,5,0,0,10/19
Ameer Abdullah,IND,2,19,9.5,0,1,14,0,0,10/19
Tony Pollard,TEN,6,18,3,0,0,6,0,0,10/19
Terrell Jennings,NE,5,18,3.6,0,1,9,0,0,10/19
Kareem Hunt,KC,4,18,4.5,0,3,9,0,0,10/19
Trevor Lawrence,JAX,2,18,9,0,1,14,0,0,10/19
Emanuel Wilson,GB,6,17,2.8,0,0,8,0,0,10/19
Nick Chubb,HOU,5,16,3.2,0,0,5,0,0,10/19
Tyler Allgeier,ATL,4,16,4,0,2,7,0,0,10/19
Woody Marks,HOU,10,15,1.5,0,1,11,0,0,10/19
Kenneth Gainwell,PIT,3,14,4.7,0,1,11,0,0,10/19
Xavier Worthy,KC,1,13,13,0,1,13,0,0,10/19
Marvin Mims Jr.,DEN,1,13,13,0,1,13,0,0,10/19
Spencer Rattler,NO,2,12,6,0,1,7,1,1,10/19
Dillon Gabriel,CLE,4,12,3,0,0,6,0,0,10/19
Chris Rodriguez Jr.,WAS,3,12,4,1,1,7,0,0,10/19
Mac Jones,SF,5,11,2.2,0,2,8,0,0,10/19
Roschon Johnson,CHI,1,11,11,0,1,11,0,0,10/19
Ollie Gordon II,MIA,5,11,2.2,0,1,8,0,0,10/19
Jaxson Dart,NYG,5,11,2.2,1,2,9,0,0,10/19
Tank Bigsby,PHI,1,11,11,0,1,11,0,0,10/19
Tyrod Taylor,NYJ,3,11,3.7,0,0,5,0,0,10/19
Michael Carter,ARI,7,11,1.6,0,1,5,0,0,10/19
Bryce Young,CAR,2,10,5,0,0,6,1,0,10/19
Isaiah Davis,NYJ,2,10,5,0,0,5,0,0,10/19
Parker Washington,JAX,3,10,3.3,0,1,5,0,0,10/19
DJ Moore,CHI,1,9,9,0,0,9,0,0,10/19
Dylan Sampson,CLE,3,8,2.7,0,0,4,0,0,10/19
Dak Prescott,DAL,5,7,1.4,0,1,7,1,0,10/19
Daniel Jones,IND,5,7,1.4,0,0,7,0,0,10/19
Jared Goff,DET,2,7,3.5,0,1,6,1,1,10/19
Kendre Miller,NO,1,7,7,0,0,7,0,0,10/19
Jimmy Horn Jr.,CAR,1,7,7,0,0,7,0,0,10/19
Tua Tagovailoa,MIA,3,6,2,0,0,6,3,0,10/19
Michael Penix Jr.,ATL,2,6,3,0,0,3,1,1,10/19
Aaron Rodgers,PIT,1,6,6,0,0,6,0,0,10/19
TreVeyon Henderson,NE,2,5,2.5,0,0,3,0,0,10/19
Mack Hollins,NE,1,4,4,0,0,4,0,0,10/19
Zavier Scott,MIN,4,4,1,0,0,5,0,0,10/19
Sean Tucker,TB,1,4,4,0,0,4,0,0,10/19
Hassan Haskins,LAC,1,3,3,0,0,3,0,0,10/19
Joe Flacco,CIN,5,3,0.6,0,2,12,0,0,10/19
Dylan Laube,LV,2,3,1.5,0,0,2,0,0,10/19
Devin Singletary,NYG,2,2,1,0,0,2,0,0,10/19
AJ Barner,SEA,1,2,2,0,1,2,0,0,10/19
Geno Smith,LV,2,1,0.5,0,0,1,1,0,10/19
Sam Darnold,SEA,3,1,0.3,0,0,3,1,1,10/19
Devin Neal,NO,1,1,1,0,0,1,0,0,10/19
Matthew Stafford,LAR,2,1,0.5,0,0,2,0,0,10/19
Quinn Ewers,MIA,1,0,0,0,0,0,2,0,10/19
Kenny Pickett,LV,1,0,0,0,0,0,1,1,10/19
Travis Hunter,JAX,1,0,0,0,0,0,0,0,10/19
Olamide Zaccheaus,CHI,1,0,0,0,0,0,0,0,10/19
Jerome Ford,CLE,1,0,0,0,0,0,0,0,10/19
RJ Harvey,DEN,4,0,0,0,0,4,0,0,10/19
D'Ernest Johnson,ARI,1,0,0,0,0,0,0,0,10/19
Luther Burden III,CHI,1,-1,-1,0,0,-1,0,0,10/19
Chimere Dike,TEN,1,-1,-1,0,0,-1,0,0,10/19
Teddy Bridgewater,TB,1,-1,-1,0,0,-1,0,0,10/19
Caleb Williams,CHI,4,-2,-0.5,0,0,0,2,0,10/19
Joshua Dobbs,NE,2,-2,-1,0,0,-1,0,0,10/19
Andy Dalton,CAR,2,-2,-1,0,0,-1,0,0,10/19
Kyle Juszczyk,SF,1,-2,-2,0,0,-2,0,0,10/19
Gardner Minshew,KC,3,-3,-1,0,0,-1,0,0,10/19
Jimmy Garoppolo,LAR,3,-3,-1,0,0,-1,0,0,10/19
Taysom Hill,NO,2,-4,-2,0,1,5,0,0,10/19
Jalen Hurts,PHI,4,-10,-2.5,0,1,1,0,0,10/19
Rico Dowdle,CAR,30,183,6.1,0,10,15,1,0,10/12
Bijan Robinson,ATL,19,170,8.9,1,5,81,0,0,10/12
De'Von Achane,MIA,16,128,8,2,6,49,0,0,10/12
Kimani Vidal,LAC,18,124,6.9,0,4,38,0,0,10/12
Jonathan Taylor,IND,21,123,5.9,1,7,30,0,0,10/12
Derrick Henry,BAL,24,122,5.1,0,7,12,0,0,10/12
D'Andre Swift,CHI,14,108,7.7,0,6,19,0,0,10/12
Cam Skattebo,NYG,19,98,5.2,3,9,18,0,0,10/12
Josh Jacobs,GB,18,93,5.2,2,7,16,0,0,10/12
James Cook III,BUF,17,87,5.1,0,5,14,0,0,10/12
Ashton Jeanty,LV,23,75,3.3,1,4,13,0,0,10/12
Rachaad White,TB,17,65,3.8,1,6,10,0,0,10/12
Jahmyr Gibbs,DET,17,65,3.8,0,3,15,0,0,10/12
Jacory Croskey-Merritt,WAS,17,61,3.6,0,4,11,1,1,10/12
Breece Hall,NYJ,22,59,2.7,0,5,8,0,0,10/12
Saquon Barkley,PHI,12,58,4.8,0,3,18,0,0,10/12
Jaxson Dart,NYG,13,58,4.5,1,5,20,0,0,10/12
Christian McCaffrey,SF,17,54,3.2,1,4,11,0,0,10/12
Jayden Daniels,WAS,10,52,5.2,0,2,18,2,1,10/12
Jaylen Warren,PIT,11,52,4.7,0,3,11,0,0,10/12
Isiah Pacheco,KC,12,51,4.3,0,3,11,0,0,10/12
Kyren Williams,LAR,13,50,3.8,1,3,13,0,0,10/12
Josh Allen,BUF,6,42,7,0,2,24,2,0,10/12
Chase Brown,CIN,9,42,4.7,0,1,13,0,0,10/12
J.K. Dobbins,DEN,14,40,2.9,0,2,8,0,0,10/12
Tyler Huntley,BAL,3,39,13,0,2,19,0,0,10/12
Quinshon Judkins,CLE,12,36,3,0,4,6,0,0,10/12
Bam Knight,ARI,11,34,3.1,1,3,7,0,0,10/12
Michael Carter,ARI,9,34,3.8,0,1,11,0,0,10/12
Tony Pollard,TEN,10,34,3.4,0,1,17,0,0,10/12
Kenneth Walker III,SEA,10,34,3.4,0,1,10,0,0,10/12
Patrick Mahomes,KC,10,32,3.2,1,3,11,1,0,10/12
Tyler Allgeier,ATL,10,32,3.2,1,3,21,0,0,10/12
Tyjae Spears,TEN,5,31,6.2,0,2,12,0,0,10/12
Alvin Kamara,NO,10,31,3.1,0,1,7,0,0,10/12
Justin Fields,NYJ,7,31,4.4,0,1,8,0,0,10/12
Javonte Williams,DAL,13,29,2.2,0,1,6,0,0,10/12
Drake Maye,NE,9,28,3.1,0,3,20,1,0,10/12
TreVeyon Henderson,NE,9,27,3,0,1,7,0,0,10/12
Travis Etienne Jr.,JAX,12,27,2.3,0,1,7,0,0,10/12
Jordan Love,GB,7,26,3.7,0,3,7,0,0,10/12
Sean Tucker,TB,6,25,4.2,1,2,9,0,0,10/12
David Montgomery,DET,4,24,6,0,1,13,0,0,10/12
Bo Nix,DEN,5,24,4.8,0,1,11,0,0,10/12
Zach Charbonnet,SEA,12,24,2,0,0,8,0,0,10/12
Kareem Hunt,KC,6,23,3.8,0,2,10,0,0,10/12
Blake Corum,LAR,5,23,4.6,0,1,12,0,0,10/12
Kenneth Gainwell,PIT,6,22,3.7,0,2,10,0,0,10/12
Kendre Miller,NO,8,21,2.6,0,2,4,0,0,10/12
Daniel Jones,IND,5,20,4,1,3,17,0,0,10/12
Spencer Rattler,NO,4,20,5,0,3,9,0,0,10/12
Jacoby Brissett,ARI,3,19,6.3,0,3,12,0,0,10/12
Kyle Monangai,CHI,5,19,3.8,0,0,7,0,0,10/12
Rhamondre Stevenson,NE,13,18,1.4,0,1,7,0,0,10/12
Jerome Ford,CLE,2,17,8.5,0,2,12,0,0,10/12
Trevor Etienne,CAR,3,17,5.7,0,3,11,0,0,10/12
Samaje Perine,CIN,6,16,2.7,0,4,6,0,0,10/12
Matthew Golden,GB,2,16,8,0,2,8,0,0,10/12
Justice Hill,BAL,6,16,2.7,0,1,6,0,0,10/12
Kaleb Johnson,PIT,6,15,2.5,0,1,9,0,0,10/12
Baker Mayfield,TB,3,14,4.7,0,1,15,1,0,10/12
Hassan Haskins,LAC,6,14,2.3,0,2,10,0,0,10/12
Bhayshul Tuten,JAX,2,14,7,0,0,8,0,0,10/12
Mac Jones,SF,5,13,2.6,0,2,5,1,0,10/12
Jalen Hurts,PHI,7,13,1.9,1,2,9,0,0,10/12
Dylan Sampson,CLE,3,12,4,0,0,7,0,0,10/12
Emanuel Wilson,GB,3,11,3.7,0,0,6,0,0,10/12
Jimmy Horn Jr.,CAR,1,11,11,0,1,11,0,0,10/12
Devin Singletary,NYG,3,10,3.3,0,0,6,0,0,10/12
Jonnu Smith,PIT,1,10,10,0,1,10,0,0,10/12
DJ Moore,CHI,2,10,5,0,0,6,0,0,10/12
Trevor Lawrence,JAX,3,9,3,0,1,6,0,0,10/12
Ameer Abdullah,IND,1,7,7,0,1,7,0,0,10/12
Jared Goff,DET,1,7,7,0,1,7,0,0,10/12
Evan Engram,DEN,1,7,7,0,0,7,0,0,10/12
Dyami Brown,JAX,1,7,7,0,1,7,0,0,10/12
Jaylin Lane,WAS,1,7,7,0,0,7,0,0,10/12
