Player,Team,Att,Yds,Y/A,TD,1stD,Long,Fumb,FumL,Date
David Montgomery,DET,5,18,3.6,0,2,9,0,0,11/25
Devin Neal,NO,7,18,2.6,0,1,6,0,0,11/25
Taysom Hill,NO,10,17,1.7,0,4,4,1,0,11/25
Bhayshul Tuten,JAX,7,17,2.4,0,2,4,0,0,11/25
Nick Chubb,HOU,6,16,2.7,0,1,7,0,0,11/25
Daniel Jones,IND,3,16,5.3,0,2,13,0,0,11/25
Brock Purdy,SF,6,16,2.7,0,4,9,0,0,11/25
Chuba Hubbard,CAR,3,16,5.3,0,0,10,0,0,11/25
D'Andre Swift,CHI,8,15,1.9,0,1,4,1,1,11/25
Luther Burden III,CHI,1,15,15,0,1,15,0,0,11/25
Jordan Love,GB,3,15,5,0,1,13,0,0,11/25
Bryce Young,CAR,4,15,3.8,0,1,7,0,0,11/25
DeMario Douglas,NE,1,14,14,0,1,14,0,0,11/25
Jameis Winston,NYG,4,13,3.3,0,1,11,0,0,11/25
DK Metcalf,PIT,2,12,6,1,1,6,0,0,11/25
Tez Johnson,TB,2,12,6,0,0,6,0,0,11/25
Bam Knight,ARI,10,12,1.2,1,1,6,0,0,11/25
Lamar Jackson,BAL,7,11,1.6,0,0,6,1,0,11/25
Alvin Kamara,NO,3,11,3.7,0,0,5,0,0,11/25
Mason Tipton,NO,1,11,11,0,1,11,0,0,11/25
Zay Flowers,BAL,2,11,5.5,0,1,11,0,0,11/25
J.J. McCarthy,MIN,2,10,5,0,1,10,1,0,11/25
Keaton Mitchell,BAL,2,10,5,0,1,9,0,0,11/25
Xavier Hutchinson,HOU,1,9,9,0,0,9,0,0,11/25
Dak Prescott,DAL,5,9,1.8,1,1,8,0,0,11/25
Geno Smith,LV,3,8,2.7,0,1,9,2,1,11/25
Tank Bigsby,PHI,1,8,8,0,0,8,0,0,11/25
Clyde Edwards-Helaire,KC,5,8,1.6,0,1,4,0,0,11/25
Arian Smith,NYJ,1,8,8,0,0,8,0,0,11/25
Mason Rudolph,PIT,3,7,2.3,0,2,3,1,1,11/25
Isaiah Davis,NYJ,4,7,1.8,0,0,2,0,0,11/25
Ty Johnson,BUF,2,7,3.5,0,0,9,0,0,11/25
Jonnu Smith,PIT,2,7,3.5,0,0,4,0,0,11/25
Teddy Bridgewater,TB,1,6,6,0,0,6,0,0,11/25
Owen Wright,TB,3,6,2,0,0,4,0,0,11/25
Kirk Cousins,ATL,2,5,2.5,0,1,6,1,0,11/25
Jaylin Noel,HOU,1,5,5,0,0,5,0,0,11/25
Andrei Iosivas,CIN,1,5,5,0,0,5,0,0,11/25
Tahj Brooks,CIN,2,5,2.5,0,0,3,0,0,11/25
Rhamondre Stevenson,NE,6,5,0.8,0,0,3,0,0,11/25
Rashid Shaheed,SEA,1,5,5,0,0,5,0,0,11/25
Brashard Smith,KC,1,5,5,0,0,5,0,0,11/25
KaVontae Turpin,DAL,2,4,2,0,0,4,1,1,11/25
Davis Mills,HOU,2,4,2,0,0,5,0,0,11/25
Tyjae Spears,TEN,3,4,1.3,0,0,3,0,0,11/25
Jaxon Smith-Njigba,SEA,1,4,4,0,0,4,0,0,11/25
Harold Fannin Jr.,CLE,1,4,4,0,0,4,0,0,11/25
Julius Chestnut,TEN,2,3,1.5,0,1,3,0,0,11/25
Joe Flacco,CIN,1,3,3,0,1,3,0,0,11/25
Malik Willis,GB,2,3,1.5,0,1,4,0,0,11/25
Raheem Mostert,LV,1,2,2,0,0,2,0,0,11/25
Feleipe Franks,ATL,1,2,2,0,1,2,0,0,11/25
LeQuint Allen Jr.,JAX,1,2,2,0,0,2,0,0,11/25
Mark Andrews,BAL,2,2,1,0,1,2,0,0,11/25
Ricky Pearsall,SF,1,2,2,0,0,2,0,0,11/25
Jake Ferguson,DAL,1,1,1,0,0,1,1,0,11/25
Travis Kelce,KC,1,1,1,0,0,1,0,0,11/25
Wan'Dale Robinson,NYG,1,0,0,0,0,0,1,0,11/25
Connor Heyward,PIT,1,0,0,0,0,0,0,0,11/25
Terrell Jennings,NE,1,0,0,0,0,0,0,0,11/25
Savion Williams,GB,1,0,0,0,0,0,0,0,11/25
T.J. Hockenson,MIN,1,0,0,0,0,0,0,0,11/25
Shedeur Sanders,CLE,1,-1,-1,0,0,-1,0,0,11/25
Sam Darnold,SEA,1,-1,-1,0,0,-1,0,0,11/25
Jerome Ford,CLE,1,-3,-3,0,0,-3,0,0,11/25
Greg Dortch,ARI,2,-5,-2.5,0,0,0,1,0,11/25
Malachi Corley,CLE,1,-6,-6,0,0,-6,0,0,11/25
De'Von Achane,MIA,21,120,5.7,0,8,23,0,0,11/16
Sean Tucker,TB,19,106,5.6,2,4,43,0,0,11/16
Bijan Robinson,ATL,23,104,4.5,2,6,19,0,0,11/16
Derrick Henry,BAL,18,103,5.7,1,5,59,0,0,11/16
Chase Brown,CIN,18,99,5.5,0,6,35,0,0,11/16
Javonte Williams,DAL,22,93,4.2,0,5,16,0,0,11/16
Kyren Williams,LAR,12,91,7.6,1,4,34,0,0,11/16
D'Andre Swift,CHI,21,90,4.3,0,5,11,0,0,11/16
Tyrone Tracy Jr.,NYG,19,88,4.6,0,4,17,0,0,11/16
Saquon Barkley,PHI,26,83,3.2,0,3,14,0,0,11/16
Christian McCaffrey,SF,13,81,6.2,2,7,20,0,0,11/16
Chris Rodriguez Jr.,WAS,15,79,5.3,0,6,17,0,0,11/16
Bhayshul Tuten,JAX,15,74,4.9,1,8,15,0,0,11/16
Travis Etienne Jr.,JAX,19,73,3.8,2,5,13,0,0,11/16
Aaron Jones Sr.,MIN,16,70,4.4,0,3,14,1,0,11/16
Justin Fields,NYJ,11,67,6.1,1,6,14,1,1,11/16
Kenneth Walker III,SEA,16,67,4.2,1,5,25,0,0,11/16
TreVeyon Henderson,NE,19,62,3.3,2,4,9,0,0,11/16
Jaylen Warren,PIT,10,62,6.2,0,1,35,0,0,11/16
Quinshon Judkins,CLE,17,59,3.5,0,3,16,0,0,11/16
Kareem Hunt,KC,13,59,4.5,1,3,11,0,0,11/16
Breece Hall,NYJ,14,58,4.1,0,3,11,0,0,11/16
Rachaad White,TB,10,51,5.1,0,5,12,0,0,11/16
Marcus Mariota,WAS,4,49,12.3,0,1,44,0,0,11/16
James Cook III,BUF,16,48,3,0,0,8,0,0,11/16
Rico Dowdle,CAR,19,45,2.4,0,2,6,0,0,11/16
Ollie Gordon II,MIA,9,45,5,1,3,20,0,0,11/16
Jordan Mason,MIN,6,45,7.5,1,1,16,0,0,11/16
Woody Marks,HOU,18,44,2.4,0,4,12,0,0,11/16
Devin Singletary,NYG,16,44,2.8,2,4,7,0,0,11/16
Josh Allen,BUF,6,40,6.7,3,4,12,0,0,11/16
Josh Jacobs,GB,7,40,5.7,0,3,15,0,0,11/16
Emanuel Wilson,GB,11,40,3.6,1,2,11,0,0,11/16
Baker Mayfield,TB,5,39,7.8,1,4,13,1,1,11/16
Jahmyr Gibbs,DET,12,39,3.3,0,2,11,0,0,11/16
Zach Charbonnet,SEA,11,37,3.4,0,1,6,0,0,11/16
LeQuint Allen Jr.,JAX,8,36,4.5,0,2,12,0,0,11/16
Mark Andrews,BAL,1,35,35,1,1,35,0,0,11/16
Tank Bigsby,PHI,4,34,8.5,0,1,17,0,0,11/16
Cam Ward,TEN,3,33,11,0,2,20,1,1,11/16
Jalen Hurts,PHI,10,31,3.1,1,3,12,1,0,11/16
Keaton Mitchell,BAL,6,31,5.2,0,1,10,0,0,11/16
RJ Harvey,DEN,11,30,2.7,0,3,7,0,0,11/16
Jacory Croskey-Merritt,WAS,9,28,3.1,0,1,10,0,0,11/16
David Montgomery,DET,6,27,4.5,0,1,7,0,0,11/16
Caleb Williams,CHI,4,26,6.5,0,2,16,1,0,11/16
Kenneth Gainwell,PIT,9,24,2.7,0,2,12,0,0,11/16
Bam Knight,ARI,5,24,4.8,1,1,7,0,0,11/16
Brian Robinson Jr.,SF,8,24,3,0,1,7,0,0,11/16
Kyle Monangai,CHI,12,23,1.9,1,5,9,0,0,11/16
Tony Pollard,TEN,10,22,2.2,0,0,7,0,0,11/16
Chuba Hubbard,CAR,4,21,5.3,0,0,6,0,0,11/16
Justin Herbert,LAC,3,21,7,0,1,12,0,0,11/16
Malik Davis,DAL,4,20,5,0,1,9,0,0,11/16
Dylan Sampson,CLE,1,19,19,0,1,19,0,0,11/16
Jaleel McLaughlin,DEN,6,19,3.2,1,2,5,0,0,11/16
Puka Nacua,LAR,2,18,9,0,1,18,1,1,11/16
Bo Melton,GB,1,17,17,0,1,17,0,0,11/16
Nick Chubb,HOU,3,17,5.7,0,1,8,0,0,11/16
Shedeur Sanders,CLE,3,16,5.3,0,1,6,1,0,11/16
Malik Willis,GB,1,16,16,0,1,16,0,0,11/16
Kaleb Johnson,PIT,5,15,3,0,0,7,0,0,11/16
Davis Mills,HOU,2,14,7,0,0,10,0,0,11/16
Geno Smith,LV,4,14,3.5,0,1,7,0,0,11/16
Kimani Vidal,LAC,5,13,2.6,0,1,4,0,0,11/16
Jeremy McNichols,WAS,4,13,3.3,0,0,7,0,0,11/16
Sam Darnold,SEA,2,11,5.5,0,1,8,0,0,11/16
Jaxon Smith-Njigba,SEA,1,11,11,0,1,11,0,0,11/16
Isaiah Davis,NYJ,2,11,5.5,0,1,7,0,0,11/16
Blake Corum,LAR,8,10,1.3,0,0,6,0,0,11/16
Jameis Winston,NYG,3,10,3.3,1,2,10,1,1,11/16
Tyler Allgeier,ATL,3,10,3.3,1,1,5,0,0,11/16
Lamar Jackson,BAL,4,10,2.5,0,1,13,0,0,11/16
Ty Johnson,BUF,1,9,9,0,0,9,1,0,11/16
Michael Penix Jr.,ATL,1,9,9,0,0,9,0,0,11/16
Jameson Williams,DET,1,9,9,0,0,9,0,0,11/16
Trevor Lawrence,JAX,5,9,1.8,1,1,4,0,0,11/16
Chris Brooks,GB,1,8,8,0,0,8,0,0,11/16
Isaiah Bond,CLE,1,8,8,0,0,8,0,0,11/16
Bo Nix,DEN,3,8,2.7,0,0,8,0,0,11/16
Emari Demercado,ARI,5,8,1.6,0,1,5,0,0,11/16
Aaron Rodgers,PIT,1,8,8,0,1,8,0,0,11/16
Amar Johnson,LAC,2,8,4,0,0,6,0,0,11/16
Jordan Love,GB,2,7,3.5,0,0,4,0,0,11/16
Sterling Shepard,TB,1,7,7,0,0,7,0,0,11/16
Ashton Jeanty,LV,6,7,1.2,0,2,11,0,0,11/16
Michael Carter,ARI,2,6,3,0,2,3,0,0,11/16
D'Ernest Johnson,NE,3,6,2,0,0,5,0,0,11/16
George Holani,SEA,2,6,3,0,0,4,0,0,11/16
Raheem Mostert,LV,2,6,3,0,1,4,0,0,11/16
Hunter Luepke,DAL,1,5,5,0,1,5,0,0,11/16
Zay Flowers,BAL,1,5,5,0,0,5,0,0,11/16
Tahj Brooks,CIN,1,5,5,0,0,5,0,0,11/16
Isaiah Williams,NYJ,1,4,4,0,0,4,0,0,11/16
Jaylen Wright,MIA,1,4,4,0,0,4,0,0,11/16
Deebo Samuel,WAS,1,3,3,0,1,3,0,0,11/16
Patrick Mahomes,KC,1,3,3,0,0,3,0,0,11/16
Tyjae Spears,TEN,4,3,0.8,0,0,1,0,0,11/16
DJ Moore,CHI,1,3,3,0,1,3,0,0,11/16
Connor Heyward,PIT,2,3,1.5,0,2,2,0,0,11/16
Drake Maye,NE,4,2,0.5,0,0,4,0,0,11/16
Kirk Cousins,ATL,1,2,2,0,1,2,0,0,11/16
Trevor Etienne,CAR,1,2,2,0,0,2,0,0,11/16
Jerome Ford,CLE,1,2,2,0,0,2,0,0,11/16
Dillon Gabriel,CLE,2,2,1,0,0,1,0,0,11/16
Marvin Mims Jr.,DEN,1,2,2,0,0,2,0,0,11/16
Rashid Shaheed,SEA,1,2,2,0,0,2,0,0,11/16
Kendall Milton,CIN,2,2,1,0,0,2,0,0,11/16
AJ Barner,SEA,2,1,0.5,0,1,1,1,0,11/16
Trey Lance,LAC,3,1,0.3,0,1,1,0,0,11/16
Tez Johnson,TB,3,0,0,0,0,6,0,0,11/16
