Player,Team,Rec,Tgt,Yds,Y/R,Long,1stD,TD,Fumb,FumL,Date
Luke Schoonmaker,DAL,2,2,8,4,5,0,0,0,0,9/28
Bhayshul Tuten,JAX,1,1,8,8,8,0,0,0,0,9/28
Tez Johnson,TB,1,1,8,8,8,0,0,0,0,9/28
Mike Gesicki,CIN,1,1,8,8,8,0,0,0,0,9/28
Allen Lazard,NYJ,1,1,8,8,8,0,0,0,0,9/28
LeQuint Allen Jr.,JAX,1,1,7,7,7,0,0,0,0,9/28
Jack Stoll,NO,1,1,7,7,7,0,0,0,0,9/28
Jordan Whittington,LAR,1,1,7,7,7,0,0,0,0,9/28
A.J. Brown,PHI,2,9,7,3.5,9,1,0,0,0,9/28
Luke Musgrave,GB,1,1,6,6,6,0,0,0,0,9/28
Cedric Tillman,CLE,1,2,6,6,6,1,0,0,0,9/28
Jahmyr Gibbs,DET,2,2,6,3,4,0,0,0,0,9/28
Jonnu Smith,PIT,2,3,6,3,6,0,0,0,0,9/28
Van Jefferson,TEN,1,1,6,6,6,1,0,0,0,9/28
Nate Adkins,DEN,2,3,5,2.5,7,1,0,0,0,9/28
Zach Charbonnet,SEA,2,2,5,2.5,9,0,0,0,0,9/28
Tre Tucker,LV,8,9,145,18.1,61,7,3,0,0,9/21
Courtland Sutton,DEN,6,8,118,19.7,52,5,1,0,0,9/21
Ricky Pearsall,SF,8,11,117,14.6,34,6,0,0,0,9/21
Puka Nacua,LAR,11,15,112,10.2,20,7,0,0,0,9/21
A.J. Brown,PHI,6,10,109,18.2,38,4,1,0,0,9/21
Nico Collins,HOU,8,11,104,13,50,3,1,1,1,9/21
Luther Burden III,CHI,3,3,101,33.7,65,2,1,0,0,9/21
Jaxon Smith-Njigba,SEA,5,6,96,19.2,45,4,1,0,0,9/21
Mark Andrews,BAL,6,6,91,15.2,27,4,2,0,0,9/21
Hunter Henry,NE,8,11,90,11.3,18,6,2,0,0,9/21
Quentin Johnston,LAC,6,9,89,14.8,37,4,0,0,0,9/21
Christian McCaffrey,SF,10,15,88,8.8,20,2,0,0,0,9/21
Emeka Egbuka,TB,6,8,85,14.2,30,4,0,0,0,9/21
Garrett Wilson,NYJ,10,13,84,8.4,17,4,1,0,0,9/21
Jake Ferguson,DAL,13,14,82,6.3,12,2,0,0,0,9/21
Sterling Shepard,TB,4,5,80,20,24,4,0,0,0,9/21
Amon-Ra St. Brown,DET,7,8,77,11,20,5,1,0,0,9/21
Justin Jefferson,MIN,5,7,75,15,36,2,0,0,0,9/21
Terry McLaurin,WAS,3,4,74,24.7,56,3,0,0,0,9/21
Michael Pittman Jr.,IND,6,6,73,12.2,20,4,1,0,0,9/21
Tyquan Thornton,KC,5,9,71,14.2,33,4,1,0,0,9/21
George Pickens,DAL,5,9,68,13.6,24,5,1,0,0,9/21
Alec Pierce,IND,4,5,67,16.8,19,3,0,0,0,9/21
Dalton Kincaid,BUF,5,6,66,13.2,20,4,1,0,0,9/21
Chig Okonkwo,TEN,5,6,66,13.2,22,3,0,0,0,9/21
Keenan Allen,LAC,7,11,65,9.3,20,4,1,0,0,9/21
KaVontae Turpin,DAL,2,3,64,32,37,2,0,0,0,9/21
Jakobi Meyers,LV,3,4,63,21,45,1,0,0,0,9/21
Rashod Bateman,BAL,5,7,63,12.6,20,5,1,0,0,9/21
Rome Odunze,CHI,3,7,62,20.7,35,3,1,0,0,9/21
Cam Skattebo,NYG,6,8,61,10.2,21,4,0,0,0,9/21
Brenton Strange,JAX,6,7,61,10.2,16,3,0,0,0,9/21
DeVonta Smith,PHI,8,9,60,7.5,16,3,1,0,0,9/21
Omarion Hampton,LAC,6,7,59,9.8,22,3,0,1,0,9/21
Chris Olave,NO,10,14,57,5.7,9,4,0,0,0,9/21
Davante Adams,LAR,3,8,56,18.7,44,1,1,0,0,9/21
Luke McCaffrey,WAS,3,3,56,18.7,43,1,1,0,0,9/21
JuJu Smith-Schuster,KC,4,4,55,13.8,27,3,0,0,0,9/21
Drake London,ATL,5,8,55,11,18,3,0,0,0,9/21
Brian Thomas Jr.,JAX,2,6,55,27.5,46,2,0,0,0,9/21
Matthew Golden,GB,4,4,52,13,34,1,0,0,0,9/21
Juwan Johnson,NO,6,8,51,8.5,21,3,0,0,0,9/21
Ja'Marr Chase,CIN,5,6,50,10,28,1,0,1,1,9/21
Tyreek Hill,MIA,5,10,49,9.8,19,5,1,0,0,9/21
T.J. Hockenson,MIN,5,6,49,9.8,13,4,1,0,0,9/21
Tetairoa McMillan,CAR,3,8,48,16,23,3,0,0,0,9/21
Oronde Gadsden,LAC,5,7,46,9.2,17,3,0,0,0,9/21
Khalil Shakir,BUF,4,4,45,11.3,15,2,1,0,0,9/21
D'Andre Swift,CHI,3,4,45,15,41,1,0,0,0,9/21
Justice Hill,BAL,3,4,45,15,37,1,0,0,0,9/21
Josh Jacobs,GB,5,9,44,8.8,31,2,0,1,0,9/21
Marvin Harrison Jr.,ARI,3,6,44,14.7,32,2,0,0,0,9/21
Darnell Mooney,ATL,4,11,44,11,21,3,0,0,0,9/21
Trey McBride,ARI,5,8,43,8.6,17,2,1,0,0,9/21
Jameson Williams,DET,2,3,43,21.5,24,2,0,0,0,9/21
Hollywood Brown,KC,4,6,42,10.5,17,2,0,0,0,9/21
Rashid Shaheed,NO,4,6,42,10.5,15,2,0,0,0,9/21
Ladd McConkey,LAC,4,7,41,10.3,14,3,0,0,0,9/21
David Njoku,CLE,5,7,40,8,13,2,0,0,0,9/21
Jaylen Waddle,MIA,5,6,39,7.8,15,4,1,0,0,9/21
Dalton Schultz,HOU,5,6,39,7.8,12,2,0,0,0,9/21
Kyle Pitts Sr.,ATL,4,6,39,9.8,17,2,0,0,0,9/21
Bijan Robinson,ATL,5,6,39,7.8,25,2,0,0,0,9/21
Rhamondre Stevenson,NE,3,3,38,12.7,23,1,0,2,2,9/21
Elic Ayomanor,TEN,4,5,38,9.5,11,3,1,0,0,9/21
Tyler Warren,IND,3,5,38,12.7,17,2,0,0,0,9/21
Kendrick Bourne,SF,4,6,38,9.5,11,2,0,0,0,9/21
Brock Bowers,LV,4,5,38,9.5,18,2,0,0,0,9/21
Zach Ertz,WAS,3,3,38,12.7,19,1,0,0,0,9/21
Tyler Lockett,TEN,4,4,37,9.3,16,2,0,0,0,9/21
Jalen Nailor,MIN,3,5,37,12.3,22,2,0,0,0,9/21
Jaylen Warren,PIT,5,6,34,6.8,15,1,0,0,0,9/21
Parker Washington,JAX,4,11,34,8.5,16,2,0,0,0,9/21
Josh Downs,IND,2,3,34,17,29,1,0,0,0,9/21
Calvin Austin III,PIT,3,5,34,11.3,17,1,1,0,0,9/21
Devontez Walker,BAL,1,1,34,34,34,1,0,0,0,9/21
Dallas Goedert,PHI,1,2,33,33,33,1,1,0,0,9/21
Mike Evans,TB,4,9,33,8.3,14,3,1,0,0,9/21
Bucky Irving,TB,4,4,33,8.3,25,1,0,0,0,9/21
Sam LaPorta,DET,4,4,33,8.3,14,3,0,0,0,9/21
DK Metcalf,PIT,3,4,32,10.7,15,2,1,0,0,9/21
Jahmyr Gibbs,DET,5,6,32,6.4,9,0,0,0,0,9/21
Tory Horton,SEA,3,4,32,10.7,14,1,1,0,0,9/21
Tyler Johnson,NYJ,2,3,32,16,20,2,0,0,0,9/21
Colston Loveland,CHI,1,3,31,31,31,1,0,0,0,9/21
Cooper Kupp,SEA,2,3,31,15.5,23,1,0,0,0,9/21
Breece Hall,NYJ,4,6,31,7.8,12,2,0,0,0,9/21
Elijah Moore,BUF,2,3,30,15,30,1,0,0,0,9/21
Darius Slayton,NYG,4,4,30,7.5,14,1,0,0,0,9/21
De'Von Achane,MIA,7,9,29,4.1,15,1,0,0,0,9/21
Tucker Kraft,GB,3,4,29,9.7,18,1,0,0,0,9/21
Dont'e Thornton Jr.,LV,2,4,29,14.5,20,1,0,0,0,9/21
Austin Hooper,NE,2,3,28,14,16,2,0,0,0,9/21
Kayshon Boutte,NE,2,3,28,14,20,1,0,0,0,9/21
Calvin Ridley,TEN,1,7,27,27,27,1,0,0,0,9/21
Gunnar Helm,TEN,3,3,27,9,11,2,0,0,0,9/21
Mack Hollins,NE,4,4,27,6.8,11,1,0,0,0,9/21
Noah Fant,CIN,5,5,26,5.2,10,1,0,1,1,9/21
Wan'Dale Robinson,NYG,1,4,26,26,26,1,0,0,0,9/21
Cedric Tillman,CLE,3,3,26,8.7,10,3,0,0,0,9/21
Travis Kelce,KC,4,7,26,6.5,13,2,0,0,0,9/21
Chris Moore,WAS,2,2,25,12.5,13,2,0,0,0,9/21
Harold Fannin Jr.,CLE,3,4,25,8.3,13,1,0,0,0,9/21
Romeo Doubs,GB,2,2,25,12.5,16,2,0,0,0,9/21
Zay Jones,ARI,2,3,25,12.5,18,1,0,0,0,9/21
Christian Kirk,HOU,3,8,25,8.3,13,2,0,0,0,9/21
Tyrell Shavers,BUF,2,2,24,12,17,2,0,0,0,9/21
Olamide Zaccheaus,CHI,3,4,24,8,11,1,0,0,0,9/21
Jalen Tolbert,DAL,3,6,24,8,12,3,0,0,0,9/21
Brandin Cooks,NO,3,5,24,8,12,1,0,0,0,9/21
Jonnu Smith,PIT,3,3,23,7.7,21,1,0,1,0,9/21
Stefon Diggs,NE,3,3,23,7.7,11,2,0,0,0,9/21
AJ Barner,SEA,1,1,23,23,23,1,0,0,0,9/21
Charlie Kolar,BAL,2,3,22,11,15,1,0,0,0,9/21
Jack Stoll,NO,2,3,21,10.5,13,1,1,0,0,9/21
Travis Hunter,JAX,1,2,21,21,21,1,0,0,0,9/21
DJ Moore,CHI,4,5,21,5.3,12,2,1,0,0,9/21
Ryan Flournoy,DAL,2,3,21,10.5,11,1,0,0,0,9/21
Dontayvion Wicks,GB,2,4,21,10.5,16,1,0,0,0,9/21
Jake Tonges,SF,2,3,21,10.5,11,2,0,0,0,9/21
Zavier Scott,MIN,1,1,20,20,20,1,0,1,0,9/21
Ray-Ray McCloud III,ATL,2,5,20,10,12,1,0,0,0,9/21
Keon Coleman,BUF,3,4,20,6.7,8,1,0,0,0,9/21
Drew Sample,CIN,2,3,20,10,16,2,1,0,0,9/21
TreVeyon Henderson,NE,3,3,19,6.3,8,0,0,0,0,9/21
Kyren Williams,LAR,2,3,18,9,10,2,1,0,0,9/21
Mason Taylor,NYJ,4,6,18,4.5,10,2,0,0,0,9/21
Chase Brown,CIN,4,5,17,4.3,9,1,0,1,0,9/21
Jerry Jeudy,CLE,1,5,17,17,17,1,0,0,0,9/21
Noah Gray,KC,3,6,17,5.7,10,1,0,0,0,9/21
Braelon Allen,NYJ,2,2,17,8.5,12,1,0,0,0,9/21
Javonte Williams,DAL,5,5,16,3.2,6,1,0,1,1,9/21
Xavier Hutchinson,HOU,3,3,16,5.3,6,0,0,0,0,9/21
Isaiah Bond,CLE,2,4,16,8,17,0,0,0,0,9/21
Jonathan Taylor,IND,3,4,16,5.3,8,0,0,0,0,9/21
Tommy Tremble,CAR,2,2,16,8,12,1,0,0,0,9/21
Tim Patrick,JAX,1,1,16,16,16,1,0,0,0,9/21
James Conner,ARI,3,4,15,5,10,1,0,1,0,9/21
George Holani,SEA,2,2,15,7.5,11,1,0,1,1,9/21
Brycen Tremayne,CAR,2,2,15,7.5,8,1,0,0,0,9/21
Tee Higgins,CIN,1,2,15,15,15,1,0,0,0,9/21
Tony Pollard,TEN,2,4,14,7,11,0,0,0,0,9/21
RJ Harvey,DEN,3,3,14,4.7,9,0,0,0,0,9/21
Alvin Kamara,NO,1,2,14,14,14,1,0,0,0,9/21
Malik Nabers,NYG,2,7,13,6.5,9,0,0,0,0,9/21
Tanner Conner,MIA,1,2,13,13,13,1,0,0,0,9/21
Allen Lazard,NYJ,2,3,13,6.5,9,1,1,0,0,9/21
David Montgomery,DET,1,1,13,13,13,1,0,0,0,9/21
DeAndre Hopkins,BAL,1,2,13,13,13,1,0,0,0,9/21
Zay Flowers,BAL,2,3,13,6.5,7,1,0,0,0,9/21
Eric Saubert,SEA,1,1,12,12,12,1,0,0,0,9/21
Malik Washington,MIA,3,5,12,4,5,0,0,0,0,9/21
Miles Sanders,DAL,3,3,12,4,6,0,0,0,0,9/21
John FitzPatrick,GB,2,2,12,6,9,1,1,0,0,9/21
Josh Oliver,MIN,1,1,12,12,12,1,1,0,0,9/21
Kenneth Walker III,SEA,1,1,12,12,12,1,0,0,0,9/21
Dareke Young,SEA,1,1,12,12,12,1,0,0,0,9/21
Hunter Long,JAX,2,3,12,6,7,0,0,0,0,9/21
Deebo Samuel,WAS,2,3,11,5.5,9,0,0,0,0,9/21
Ja'Tavion Sanders,CAR,2,2,11,5.5,7,1,0,0,0,9/21
Cole Kmet,CHI,1,1,10,10,10,1,1,0,0,9/21
James Cook III,BUF,3,3,10,3.3,5,0,0,0,0,9/21
Jerome Ford,CLE,4,4,10,2.5,10,0,0,0,0,9/21
Kenneth Gainwell,PIT,1,1,10,10,10,0,0,0,0,9/21
Kareem Hunt,KC,1,1,10,10,10,1,0,0,0,9/21
Theo Johnson,NYG,1,2,10,10,10,1,0,0,0,9/21
Skyy Moore,SF,1,1,10,10,10,1,0,0,0,9/21
Jack Bech,LV,1,1,10,10,10,1,0,0,0,9/21
Tai Felton,MIN,1,1,9,9,9,0,0,0,0,9/21
Saquon Barkley,PHI,4,5,9,2.3,5,0,0,0,0,9/21
Lucas Krull,DEN,1,2,9,9,9,0,0,0,0,9/21
Trey Benson,ARI,3,4,9,3,5,0,0,0,0,9/21
Marquez Valdes-Scantling,SF,1,1,9,9,9,0,0,0,0,9/21
Kendre Miller,NO,2,2,9,4.5,5,0,0,0,0,9/21
David Sills V,ATL,1,2,9,9,9,0,0,0,0,9/21
Mitchell Evans,CAR,1,1,9,9,9,0,0,0,0,9/21
LeQuint Allen Jr.,JAX,1,1,9,9,9,0,0,0,0,9/21
Woody Marks,HOU,1,2,9,9,9,0,0,0,0,9/21
Ty Johnson,BUF,1,2,8,8,8,1,0,0,0,9/21
John Metchie III,PHI,1,1,8,8,8,1,0,0,0,9/21
Van Jefferson,TEN,1,1,8,8,8,0,0,0,0,9/21
Kyle Williams,NE,1,1,8,8,8,0,0,0,0,9/21
Troy Franklin,DEN,2,4,8,4,7,0,0,0,0,9/21
Tip Reiman,ARI,2,3,8,4,6,0,0,0,0,9/21
Rico Dowdle,CAR,1,1,8,8,8,1,0,0,0,9/21
Derrick Henry,BAL,1,1,7,7,7,0,0,1,1,9/21
Jamari Thrash,CLE,2,3,7,3.5,4,0,0,0,0,9/21
DeMario Douglas,NE,2,5,7,3.5,8,0,0,0,0,9/21
Chris Manhertz,NYG,1,1,7,7,7,0,0,0,0,9/21
Tyrone Tracy Jr.,NYG,2,3,7,3.5,4,0,0,0,0,9/21
Jordan Whittington,LAR,2,3,7,3.5,9,0,0,0,0,9/21
Jahan Dotson,PHI,1,3,7,7,7,0,0,0,0,9/21
Elijah Higgins,ARI,1,1,7,7,7,1,0,0,0,9/21
Johnny Mundt,JAX,1,1,7,7,7,0,0,0,0,9/21
Dyami Brown,JAX,2,3,7,3.5,6,1,0,0,0,9/21
Mike Gesicki,CIN,1,3,6,6,6,0,0,0,0,9/21
Cam Grandy,CIN,1,1,6,6,6,0,0,1,0,9/21
Pat Freiermuth,PIT,1,3,6,6,6,0,0,0,0,9/21
Daniel Bellinger,NYG,1,1,6,6,6,0,0,0,0,9/21
Hunter Renfrow,CAR,2,4,6,3,5,0,0,0,0,9/21
Malik Nabers,NYG,9,13,167,18.6,48,6,2,0,0,9/14
Ja'Marr Chase,CIN,14,16,165,11.8,25,10,1,0,0,9/14
Wan'Dale Robinson,NYG,8,10,142,17.8,50,5,1,0,0,9/14
Rome Odunze,CHI,7,11,128,18.3,37,6,2,0,0,9/14
Tucker Kraft,GB,6,7,124,20.7,57,5,1,0,0,9/14
Amon-Ra St. Brown,DET,9,11,115,12.8,34,7,3,0,0,9/14
CeeDee Lamb,DAL,9,11,112,12.4,33,4,0,0,0,9/14
Tyreek Hill,MIA,6,7,109,18.2,47,4,0,0,0,9/14
Jameson Williams,DET,2,4,108,54,64,2,1,0,0,9/14
Davante Adams,LAR,6,13,106,17.7,33,4,1,0,0,9/14
Jaxon Smith-Njigba,SEA,8,10,103,12.9,43,4,0,0,0,9/14
Tetairoa McMillan,CAR,6,10,100,16.7,40,5,0,0,0,9/14
De'Von Achane,MIA,8,10,92,11.5,29,4,1,0,0,9/14
Puka Nacua,LAR,8,9,91,11.4,24,4,0,0,0,9/14
Cooper Kupp,SEA,7,9,90,12.9,17,5,0,0,0,9/14
Troy Franklin,DEN,8,9,89,11.1,42,3,1,0,0,9/14
Jauan Jennings,SF,5,10,89,17.8,42,3,1,0,0,9/14
Rhamondre Stevenson,NE,5,5,88,17.6,55,2,0,0,0,9/14
Jaylen Warren,PIT,4,4,86,21.5,65,2,0,0,0,9/14
Justin Jefferson,MIN,3,6,81,27,50,2,0,0,0,9/14
Tyler Warren,IND,4,7,79,19.8,41,4,0,0,0,9/14
Jake Ferguson,DAL,9,12,78,8.7,19,4,0,0,0,9/14
Trey McBride,ARI,6,7,78,13,31,4,0,0,0,9/14
Parker Washington,JAX,5,5,76,15.2,40,3,0,0,0,9/14
Zay Flowers,BAL,7,11,75,10.7,19,3,0,0,0,9/14
Quentin Johnston,LAC,3,7,71,23.7,60,1,1,0,0,9/14
George Pickens,DAL,5,9,68,13.6,27,5,1,0,0,9/14
Alec Pierce,IND,4,5,68,17,44,3,0,0,0,9/14
Jaylen Waddle,MIA,5,6,68,13.6,23,3,1,0,0,9/14
Jakobi Meyers,LV,6,12,68,11.3,25,3,0,0,0,9/14
Zach Ertz,WAS,6,8,64,10.7,20,3,1,0,0,9/14
DeAndre Hopkins,BAL,2,2,64,32,41,2,1,0,0,9/14
Darius Slayton,NYG,2,3,61,30.5,52,1,0,0,0,9/14
Travis Kelce,KC,4,6,61,15.3,23,3,0,0,0,9/14
Keenan Allen,LAC,5,7,61,12.2,25,3,1,0,0,9/14
Tyquan Thornton,KC,2,5,59,29.5,49,1,1,0,0,9/14
Dyami Brown,JAX,5,7,57,11.4,18,4,1,0,0,9/14
Calvin Ridley,TEN,3,6,57,19,26,3,0,0,0,9/14
Tee Higgins,CIN,3,8,56,18.7,42,2,1,0,0,9/14
Elic Ayomanor,TEN,4,6,56,14,23,4,1,0,0,9/14
Ricky Pearsall,SF,4,6,56,14,15,4,0,0,0,9/14
Mike Evans,TB,5,11,56,11.2,22,3,0,0,0,9/14
Chris Olave,NO,6,10,54,9,14,4,0,0,0,9/14
Ja'Tavion Sanders,CAR,7,9,54,7.7,12,3,0,0,0,9/14
DeVonta Smith,PHI,4,6,53,13.3,28,2,0,0,0,9/14
Rashid Shaheed,NO,4,5,52,13,39,2,1,0,0,9/14
Christian McCaffrey,SF,6,7,52,8.7,14,3,1,0,0,9/14
Nico Collins,HOU,3,9,52,17.3,29,2,1,0,0,9/14
Josh Downs,IND,6,8,51,8.5,19,4,0,0,0,9/14
Jerry Jeudy,CLE,4,8,51,12.8,26,2,0,0,0,9/14
Garrett Wilson,NYJ,4,8,50,12.5,18,2,0,1,0,9/14
Jonathan Taylor,IND,2,2,50,25,43,2,1,0,0,9/14
Bucky Irving,TB,6,6,50,8.3,22,2,0,0,0,9/14
Brian Thomas Jr.,JAX,4,12,49,12.3,18,3,0,0,0,9/14
Drake London,ATL,3,4,49,16.3,21,2,0,1,1,9/14
Juwan Johnson,NO,5,9,49,9.8,18,3,1,0,0,9/14
Brycen Tremayne,CAR,3,5,48,16,26,2,0,0,0,9/14
Terry McLaurin,WAS,5,9,48,9.6,14,4,0,0,0,9/14
Hunter Renfrow,CAR,7,9,48,6.9,15,4,2,0,0,9/14
Harold Fannin Jr.,CLE,5,5,48,9.6,20,2,0,0,0,9/14
Ladd McConkey,LAC,5,5,48,9.6,19,2,0,0,0,9/14
KaVontae Turpin,DAL,4,4,47,11.8,16,3,1,0,0,9/14
Joshua Palmer,BUF,2,3,47,23.5,32,2,0,0,0,9/14
DJ Moore,CHI,5,6,46,9.2,18,2,0,0,0,9/14
Elijah Higgins,ARI,2,3,45,22.5,27,2,0,0,0,9/14
Dontayvion Wicks,GB,4,6,44,11,14,4,0,0,0,9/14
Deebo Samuel,WAS,7,8,44,6.3,12,2,1,0,0,9/14
Jordan Whittington,LAR,2,2,42,21,40,1,0,0,0,9/14
Michael Pittman Jr.,IND,4,5,40,10,12,3,0,0,0,9/14
David Njoku,CLE,4,5,40,10,23,1,0,0,0,9/14
Chuba Hubbard,CAR,5,6,39,7.8,16,3,1,0,0,9/14
Austin Hooper,NE,3,3,38,12.7,22,2,0,0,0,9/14
Brock Bowers,LV,5,8,38,7.6,9,2,0,0,0,9/14
Malik Heath,GB,1,1,37,37,37,1,0,0,0,9/14
Tyler Higbee,LAR,4,4,37,9.3,20,2,0,0,0,9/14
Kyle Pitts Sr.,ATL,4,5,37,9.3,14,2,0,0,0,9/14
Dalton Kincaid,BUF,4,6,37,9.3,18,1,0,0,0,9/14
Woody Marks,HOU,1,1,37,37,37,1,0,0,0,9/14
Tyrone Tracy Jr.,NYG,4,5,36,9,14,1,0,0,0,9/14
Chig Okonkwo,TEN,4,6,35,8.8,14,1,0,0,0,9/14
Theo Johnson,NYG,4,5,34,8.5,14,2,0,0,0,9/14
Tre' Harris,LAC,2,3,34,17,24,1,0,0,0,9/14
Sterling Shepard,TB,4,4,34,8.5,15,2,0,0,0,9/14
Javonte Williams,DAL,6,7,33,5.5,11,1,0,0,0,9/14
Luke Musgrave,GB,2,2,32,16,23,2,0,0,0,9/14
Bhayshul Tuten,JAX,2,2,32,16,24,2,1,0,0,9/14
Stefon Diggs,NE,4,5,32,8,10,1,0,0,0,9/14
Kendrick Bourne,SF,3,3,32,10.7,13,2,0,0,0,9/14
Tory Horton,SEA,2,4,32,16,21,1,1,0,0,9/14
Jalen Nailor,MIN,3,5,31,10.3,17,2,0,0,0,9/14
Jake Tonges,SF,4,5,31,7.8,11,2,0,0,0,9/14
Elijah Moore,BUF,1,1,31,31,31,1,0,0,0,9/14
Pat Freiermuth,PIT,3,4,31,10.3,20,1,0,0,0,9/14
Elijah Arroyo,SEA,2,3,31,15.5,24,1,0,0,0,9/14
Hollywood Brown,KC,5,5,30,6,11,2,0,0,0,9/14
TreVeyon Henderson,NE,2,2,30,15,15,2,0,0,0,9/14
Trey Benson,ARI,4,6,30,7.5,12,1,0,0,0,9/14
Cole Kmet,CHI,2,2,29,14.5,22,2,0,0,0,9/14
Isaac TeSlaa,DET,1,1,29,29,29,1,0,0,0,9/14
Emeka Egbuka,TB,4,7,29,7.3,15,3,1,0,0,9/14
Nick Chubb,HOU,2,2,29,14.5,27,1,0,0,0,9/14
Dalton Schultz,HOU,3,4,29,9.7,16,1,0,0,0,9/14
Xavier Hutchinson,HOU,2,3,29,14.5,20,1,0,0,0,9/14
Romeo Doubs,GB,3,5,28,9.3,17,2,1,0,0,9/14
Noah Fant,CIN,3,4,28,9.3,25,1,0,0,0,9/14
Brock Wright,DET,3,3,28,9.3,12,2,1,0,0,9/14
Jayden Higgins,HOU,1,1,28,28,28,1,0,0,0,9/14
Chris Brooks,GB,3,4,27,9,16,0,0,0,0,9/14
A.J. Brown,PHI,5,8,27,5.4,8,1,0,0,0,9/14
Marvin Harrison Jr.,ARI,2,5,27,13.5,15,1,0,0,0,9/14
Jonnu Smith,PIT,4,4,27,6.8,10,0,0,0,0,9/14
AJ Barner,SEA,2,3,26,13,19,2,1,0,0,9/14
Sam LaPorta,DET,3,4,26,8.7,10,1,0,0,0,9/14
Adam Thielen,MIN,2,3,26,13,19,2,0,0,0,9/14
Brandin Cooks,NO,2,2,26,13,20,2,0,0,0,9/14
Keon Coleman,BUF,3,3,26,8.7,12,2,0,0,0,9/14
Devontez Walker,BAL,2,2,26,13,24,2,2,0,0,9/14
Tylan Wallace,BAL,2,2,25,12.5,15,2,1,0,0,9/14
Bijan Robinson,ATL,3,5,25,8.3,15,0,0,0,0,9/14
Cade Otton,TB,3,4,25,8.3,12,1,0,0,0,9/14
Marvin Mims Jr.,DEN,2,2,24,12,23,1,1,0,0,9/14
Jerome Ford,CLE,5,6,23,4.6,12,0,0,0,0,9/14
Travis Hunter,JAX,3,6,22,7.3,9,1,0,0,0,9/14
Calvin Austin III,PIT,1,4,22,22,22,1,0,0,0,9/14
Cedric Tillman,CLE,2,7,22,11,18,1,1,0,0,9/14
Alvin Kamara,NO,6,6,21,3.5,6,0,0,1,1,9/14
Nikko Remigio,KC,1,1,21,21,21,1,0,0,0,9/14
Tommy Tremble,CAR,3,3,20,6.7,9,1,0,0,0,9/14
Dont'e Thornton Jr.,LV,1,4,20,20,20,1,0,0,0,9/14
Ryan Miller,TB,1,1,20,20,20,1,1,0,0,9/14
Adonai Mitchell,IND,2,4,20,10,12,0,0,0,0,9/14
Darnell Mooney,ATL,2,4,20,10,11,1,0,0,0,9/14
DK Metcalf,PIT,3,6,20,6.7,9,1,1,0,0,9/14
Najee Harris,LAC,2,2,20,10,11,1,0,0,0,9/14
Tyler Badie,DEN,2,2,19,9.5,19,1,0,0,0,9/14
Luke McCaffrey,WAS,1,1,19,19,19,1,0,0,0,9/14
Dawson Knox,BUF,2,5,19,9.5,12,2,0,0,0,9/14
Chase Brown,CIN,2,3,18,9,13,1,0,0,0,9/14
James Conner,ARI,1,1,18,18,18,1,0,0,0,9/14
Mike Gesicki,CIN,3,4,18,6,10,1,0,0,0,9/14
Travis Etienne Jr.,JAX,2,3,18,9,11,1,1,0,0,9/14
Pat Bryant,DEN,2,3,18,9,12,2,0,0,0,9/14
Nick Westbrook-Ikhine,MIA,2,3,18,9,11,2,0,0,0,9/14
Justice Hill,BAL,3,3,18,6,8,0,0,0,0,9/14
Dylan Laube,LV,2,2,17,8.5,13,1,0,0,0,9/14
Brenton Strange,JAX,3,5,17,5.7,10,1,0,0,0,9/14
Jalen Tolbert,DAL,2,4,16,8,11,1,0,0,0,9/14
RJ Harvey,DEN,1,2,16,16,16,1,0,0,0,9/14
Kayshon Boutte,NE,1,1,16,16,16,1,1,0,0,9/14
Kenneth Gainwell,PIT,3,5,16,5.3,6,1,0,0,0,9/14
Luke Farrell,SF,2,3,15,7.5,11,1,1,0,0,9/14
Rashod Bateman,BAL,2,4,15,7.5,10,1,0,0,0,9/14
Zamir White,LV,2,3,15,7.5,9,0,0,0,0,9/14
Cam Skattebo,NYG,2,3,14,7,9,0,0,0,0,9/14
Kalif Raymond,DET,1,1,14,14,14,1,0,0,0,9/14
Kyren Williams,LAR,2,2,14,7,9,0,0,0,0,9/14
Mitch Tinsley,CIN,1,1,13,13,13,1,1,0,0,9/14
Alec Ingold,MIA,2,2,13,6.5,9,2,0,0,0,9/14
Kenneth Walker III,SEA,1,1,13,13,13,0,0,0,0,9/14
Dylan Sampson,CLE,3,3,13,4.3,8,2,1,0,0,9/14
Andrei Iosivas,CIN,1,5,12,12,12,1,0,0,0,9/14
Olamide Zaccheaus,CHI,2,5,12,6,6,1,0,0,0,9/14
Evan Engram,DEN,1,2,12,12,12,1,0,0,0,9/14
T.J. Hockenson,MIN,1,3,12,12,12,1,0,0,0,9/14
Khalil Shakir,BUF,1,2,12,12,12,1,0,0,0,9/14
Tre Tucker,LV,3,8,12,4,5,0,0,0,0,9/14
Greg Dortch,ARI,1,1,11,11,11,0,0,0,0,9/14
Michael Wilson,ARI,1,2,11,11,11,1,1,0,0,9/14
Jahmyr Gibbs,DET,3,3,10,3.3,8,1,0,0,0,9/14
Van Jefferson,TEN,2,2,10,5,5,2,0,0,0,9/14
Adam Trautman,DEN,3,3,10,3.3,7,2,1,0,0,9/14
Rico Dowdle,CAR,1,1,10,10,10,1,0,0,0,9/14
Quinshon Judkins,CLE,3,3,10,3.3,11,0,0,0,0,9/14
