Player,Team,Rec,Tgt,Yds,Y/R,Long,1stD,TD,Fumb,FumL,Date
Troy Franklin,DEN,3,5,35,11.7,20,2,0,0,0,10/5
Gunnar Helm,TEN,4,5,34,8.5,19,2,0,0,0,10/5
Jordan Whittington,LAR,2,3,33,16.5,22,2,0,0,0,10/5
Jahmyr Gibbs,DET,2,2,33,16.5,20,2,1,0,0,10/5
Theo Johnson,NYG,6,7,33,5.5,15,3,2,0,0,10/5
Evan Engram,DEN,4,6,33,8.3,18,2,1,0,0,10/5
Jakobi Meyers,LV,4,6,32,8,16,2,0,0,0,10/5
Jayden Higgins,HOU,4,4,32,8,14,1,0,0,0,10/5
Brashard Smith,KC,3,3,32,10.7,15,1,0,0,0,10/5
Darius Slayton,NYG,3,6,31,10.3,16,1,0,1,1,10/5
Xavier Legette,CAR,2,3,31,15.5,24,2,1,0,0,10/5
Wan'Dale Robinson,NYG,5,7,30,6,12,0,0,0,0,10/5
Tyler Conklin,LAC,2,3,30,15,21,1,0,0,0,10/5
Rachaad White,TB,4,4,30,7.5,14,2,0,0,0,10/5
De'Von Achane,MIA,6,7,30,5,10,2,1,0,0,10/5
Isaiah Bond,CLE,2,7,29,14.5,22,1,0,0,0,10/5
Josh Reynolds,NYJ,3,4,29,9.7,13,1,0,0,0,10/5
Rico Dowdle,CAR,3,4,28,9.3,13,1,0,0,0,10/5
Alvin Kamara,NO,4,6,28,7,12,2,0,0,0,10/5
Jeremy Ruckert,NYJ,4,4,28,7,9,0,0,0,0,10/5
Isaiah Davis,NYJ,3,4,28,9.3,10,1,0,0,0,10/5
Jalen Nailor,MIN,3,4,27,9,20,2,0,0,0,10/5
Jack Bech,LV,3,5,27,9,11,3,0,0,0,10/5
Curtis Samuel,BUF,2,2,26,13,20,2,1,0,0,10/5
Omarion Hampton,LAC,6,6,26,4.3,12,1,0,0,0,10/5
Chris Godwin Jr.,TB,3,4,26,8.7,13,2,0,0,0,10/5
Davis Allen,LAR,2,2,24,12,20,2,0,0,0,10/5
Jahan Dotson,PHI,1,3,24,24,24,1,0,0,0,10/5
Sterling Shepard,TB,4,5,24,6,11,1,1,0,0,10/5
Keon Coleman,BUF,4,7,23,5.8,13,3,1,1,1,10/5
Brenden Bates,HOU,2,2,23,11.5,19,2,0,0,0,10/5
Tee Higgins,CIN,3,7,22,7.3,13,3,1,0,0,10/5
Mark Andrews,BAL,2,3,22,11,12,2,0,0,0,10/5
Jamari Thrash,CLE,1,1,22,22,22,1,0,0,0,10/5
Michael Carter,ARI,5,5,22,4.4,9,0,0,0,0,10/5
Julian Hill,MIA,4,5,22,5.5,8,0,0,0,0,10/5
Brenton Strange,JAX,1,1,22,22,22,1,0,0,0,10/5
Chase Brown,CIN,7,8,21,3,9,0,0,1,0,10/5
Terrance Ferguson,LAR,1,1,21,21,21,1,0,0,0,10/5
Kyle Juszczyk,SF,3,4,21,7,12,1,0,0,0,10/5
Jimmy Horn Jr.,CAR,2,3,21,10.5,17,1,0,0,0,10/5
Jonathan Taylor,IND,3,4,20,6.7,8,0,0,0,0,10/5
