Player,Team,Att,Yds,Y/A,TD,1stD,Long,Fumb,FumL,Date
Kenneth Walker III,SEA,27,135,5.0,0,,30,0,0,2/8
George Holani,SEA,2,6,3.0,0,,5,0,0,2/8
Sam Darnold,SEA,2,5,2.5,0,,11,0,0,2/8
Rashid Shaheed,SEA,1,-5,-5.0,0,,-5,0,0,2/8
Drake Maye,NE,5,37,7.4,0,,16,1,1,2/8
Rhamondre Stevenson,NE,7,23,3.3,0,,6,0,0,2/8
TreVeyon Henderson,NE,6,19,3.2,0,,9,0,0,2/8
