Player,Team,QBRat,Comp,Att,Pct,Yds,Y/A,TD,Int,1stD,,Sacks,YdsL,Fumb,FumL,Date
Sam Darnold,SEA,74.7,19,38,50.0,202,5.3,1,0,,,1,8,0,0,2/8
Drake Maye,NE,79.1,27,43,62.8,295,6.9,2,2,,,6,43,1,1,2/8
